Time, Rain(mm), Latitude, 50.009, Longitude, -119.501,
CCS_1h2025032500, 0.000
CCS_1h2025032501, 0.000
CCS_1h2025032502, 0.000
CCS_1h2025032503, 0.000
CCS_1h2025032504, 0.000
CCS_1h2025032505, 0.000
CCS_1h2025032506, 0.000
CCS_1h2025032507, 0.000
CCS_1h2025032508, 0.000
CCS_1h2025032509, 0.000
CCS_1h2025032510, 0.000
CCS_1h2025032511, 0.000
CCS_1h2025032512, 0.000
CCS_1h2025032513, 0.000
CCS_1h2025032514, 1.000
CCS_1h2025032515, 0.000
CCS_1h2025032516, 0.000
CCS_1h2025032517, 0.000
CCS_1h2025032518, 2.000
CCS_1h2025032519, 0.000
CCS_1h2025032520, 1.000
CCS_1h2025032521, 0.000
CCS_1h2025032522, 0.000
CCS_1h2025032523, 0.000
CCS_1h2025032600, 0.000
CCS_1h2025032601, 0.000
CCS_1h2025032602, 0.000
CCS_1h2025032603, 1.000
CCS_1h2025032604, 0.000
CCS_1h2025032605, 0.000
CCS_1h2025032606, 0.000
CCS_1h2025032607, 0.000
CCS_1h2025032608, 0.000
CCS_1h2025032609, 0.000
CCS_1h2025032610, 0.000
CCS_1h2025032611, 0.000
CCS_1h2025032612, 0.000
CCS_1h2025032613, 0.000
CCS_1h2025032614, 0.000
CCS_1h2025032615, 0.000
CCS_1h2025032616, 0.000
CCS_1h2025032617, 0.000
CCS_1h2025032618, 0.000
CCS_1h2025032619, 0.000
CCS_1h2025032620, 0.000
CCS_1h2025032621, 0.000
CCS_1h2025032622, 0.000
CCS_1h2025032623, 0.000
CCS_1h2025032700, 0.000
CCS_1h2025032701, 0.000
CCS_1h2025032702, 0.000
CCS_1h2025032703, 0.000
CCS_1h2025032704, 0.000
CCS_1h2025032705, 2.000
CCS_1h2025032706, 0.000
CCS_1h2025032707, 0.000
CCS_1h2025032708, 0.000
CCS_1h2025032709, 0.000
CCS_1h2025032710, 0.000
CCS_1h2025032711, 0.000
CCS_1h2025032712, 0.000
CCS_1h2025032713, 0.000
CCS_1h2025032714, 1.000
CCS_1h2025032715, 0.000
CCS_1h2025032716, 0.000
CCS_1h2025032717, 0.000
CCS_1h2025032718, 0.000
CCS_1h2025032719, 0.000
CCS_1h2025032720, 0.000
CCS_1h2025032721, 0.000
CCS_1h2025032722, 1.000
CCS_1h2025032723, 0.000
CCS_1h2025032800, 0.000
CCS_1h2025032801, 0.000
CCS_1h2025032802, 0.000
CCS_1h2025032803, 0.000
CCS_1h2025032804, 0.000
